Alternate Straight Leg Lower$,"Setup in a supine position with your legs straight, hips flexed, and arms by your sides. Slowly lower one leg as you exhale and maintain the position of hip flexion on the other side. Return back to the starting position and repeat on the opposite side. Repeat for the desired number of total repetitions.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decline Bench Alternate Knee Raise$,"The alternate decline bench knee raise is a good exercise to hit your lower abs. Grab a decline bench and set the angle to around 30 to 45 degrees. Lay on the bench backwards, with your head the highest end. Hold onto the pads above your head for stability. With your feet and knees together, point your legs out straight so your body forms a straight plank. Your legs should not be resting on the bench. This is the starting position for the exercise. Execute by slowly pulling your right knee up towards your chest as high as possible. Extend your right leg back to the starting position and repeat with the left leg. This is one rep. Repeat for desired reps.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exercise Ball Leg Tuck$,"The exercise ball leg tuck hits the lower abs. Grab a exercise ball and set it down on the floor. About a body length in front of the ball, position yourself with your palms on the floor as if you were going to do a push up. Point your toes and put your lower legs across the top of the exercise ball. Straighten your body. This is the starting position. Keeping your body dead straight, pull your knees up towards your chest. Extend your legs back to starting position. Repeat for desired reps. $",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exercise Ball Dead Bug$,Setup in a supine position with your legs in a 90/90 position (90 degree bend at the hips and knees) and your arms reaching towards the ceiling while pushing a physioball into your knees. Extend the opposite arm and leg simultaneously as you exhale and press into the physioball with the non working arm and leg to stabilize the ball. Return back to the starting position and repeat on the opposite side. Repeat for the desired number of total repetitions. $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half Kneeling Push-Pull$,Attach a handle to a cable stack on both sides and position at chest height.  Assume a half kneeling position with your knee underneath your hip and ensure you maintain a neutral spine with the ribs down.Position yourself so that one arm is extended and the other is flexed close to your chest ready to press horizontally.Exhale and press one handle to extension while simultaneously rowing the other handle and limiting rotation of your hips.Slowly lower back to the starting position and repeat in the opposite direction for the desired number of repetitions.$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Hip Abduction$,"Set up for the cable hip abduction by attaching an ankle strap (if one is not available, a single handle may suffice) to the low pulley of a cable pulley machine and set your desired weight on the stack. Attach the ankle strap to your left ankle and stand up straight with your feet close together with your right foot closest to the machine. You can use your right arm to hold onto the machine for stability. You are now in the staring position. Begin the movement by lifting your left leg straight out to your side as high as comfortably possible. This will lift the weight from the stack. Pause for a moment and then slowly lower your leg back to the starting position. Repeat for the desired amount of reps. Turn around, attach the the strap to your right ankle and then repeat with your right leg.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Abduction Machine$,"Setup in an upright position with your back against the pad and your spine neutral. Exhale and push the legs apart as you open the pads. Once your hips are fully externally rotated, slowly return to the starting position. Repeat for the desired number of repetitions.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Adduction Machine $,"Setup in an upright position with your back against the pad and your spine neutral.Exhale and push the legs apart as you open the pads.Once your hips are fully externally rotated, slowly return to the starting position.Repeat for the desired number of repetitions.  $",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Adduction Machine$,"Setup in an upright position with your back against the pad and your spine neutral.Exhale and pull the legs together as you squeeze the pads inward.Once the pads touch, slowly return to the starting position.Repeat for the desired number of repetitions.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternating Lateral Lunge with Overhead Reach$,"Stand in an upright position with your feet together and arms at your sides.Step laterally and sit back into your hip while you extend your opposite leg.Once at the bottom of the lateral lunge, keep your arms straight and raise them into shoulder flexion.After you reach overhead, lower the arms and push back to your starting position.Repeat for the desired number of repetitions on both sides.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Squat Prying$,"In a standing position with a shoulder width stance, hold a kettlebell at chest height using both hands.Squat down by breaking at the hips and knees simultaneously. Sit as deep as comfortably possible.Rock from side to side while flexing the ankles and pushing the knees out with the elbows to open up the hips.Repeat for the desired number of repetitions or time.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Hip Adduction$,"Set up for the cable hip adduction by attaching an ankle strap (if one is not available, a single handle may suffice) to the low pulley of a cable pulley machine and set your desired weight on the stack.Attach the ankle strap to your left ankle and stand up straight with your feet close together with your left foot closest to the machine.  You can use your left arm to hold onto the machine for stability. You are now in the staring position.Begin the movement by lifting your left foot off the floor to take the weight off the rack.Keep your leg as straight as possible and begin slowly moving it across your body until your ankle passes your standing leg.Pause for a moment and then slowly reverse the movement and bring your leg back to the starting position.  Repeat for the desired amount of reps.  Turn around, attach the the strap to your right ankle and then repeat with your right leg.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adductor Foam Rolling $,"In a prone position, place one leg straight and another at 90 degrees out to the side. Position the foam roller directly underneath the 90 degree leg on the inner thigh.Support your upper body using your forearms and adjust pressure into the roller by applying more or less force through the forearms and foot.Slowly roll up and down the length of the adductor (groin) for 20-30 seconds.Repeat on the other side.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lateral Kneeling Adductor Mobilization$,"In an quadruped position, ensure the toes are tucked and the hands are directly underneath the shoulders.Straighten one leg to the side and keep the foot flat on the floor.Exhale and push your hands into the floor to direct your hips backwards to increase the stretch on your groin.Once you run out of range of motion in your adductor, rock back to the starting position and repeat for the assigned number of repetitions on both sides.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocking Frog Stretch$,"In a quadruped position, ensure the hands are underneath the shoulders, the knees are underneath the hips, and the toes are tucked.Spread the knees wide until you feel a stretch within your groin. From here, push your hands into the ground to drive your hips back and keep your chest upright.Push back until your hips run out of range of motion and then return to the starting position.Repeat for the desired number of repetitions.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seated Dumbbell Curl $,"Set up for the seated dumbbell curl by grabbing a flat bench or adjustable bench and placing a set of dumbbells at one end. If you're using an adjustable bench, adjust the back to a 90 degree angle.Sit on the end of the bench with your feet out in front of you and your knees together.Pick the dumbbells up off the floor and let them hang by your sides with your palms facing up.Bend the arms slightly to take up the tension in the biceps. This is the starting position for the exercise.Keeping your back straight and your elbows tucked in at your sides, slowly curl both dumbbells up as far as possible.Squeeze the biceps hard, and then slowly lower the weight back to the starting position.Squeeze the biceps hard, and then slowly lower the weight back to the starting position.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing High Pulley Cable Curl$,"For the standing high pulley cable curl you'll need a cable machine with two high pulley cable attachments. Set up by attaching a single grip handle to each of the high pulley cables and selecting the weight you want to use on the stack.Grip each of the cables with an underhand grip (palms facing up) and stand in the center with your arms outstretched. This is the starting position.Keeping your upper arms and body fixed, curl the handles in towards your body as far as possible.Pause, and then slowly lower the weight back to the starting position.Repeat for desired reps.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incline Bench Dumbbell Curl$,"The incline bench dumbbell curl is a good exercise to totally isolate the bicep muscle. Set an adjustable bench to an angle of around 45 degrees.Grab a dumbbell and position yourself at the highest end of the bench.Rest the back of your upper arm on the bench padding and allow your arm to fully extend until the dumbbell is almost touching the bench.You should be holding the dumbbell using an underhand grip, palm facing up.Use your other arm for support by holding the bench.Tense your bicep and slowly curl it up as far as possible.Squeeze the muscle, and then slowly lower back to the starting position.Repeat for desired reps, and then repeat for the other arm.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bicep Curl Sled Drag $,"Load the desired weight onto the sled and attach a set of handles with a nylon strap.Grasp the handles with the arms extended and elbows locked out.Lean away from the sled to establish some resting tension on the strap, then contract the biceps and flex the elbow to drag the sled forward.Walk forward a few steps to reestablish tension and repeat step #3.Repeat until you reach the desired number of repetitions, distance, or time.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seated Barbell Curl$,"Set up for the seated barbell curl by getting a flat bench, selecting a barbell or EZ bar, and placing it at one end of the bench.Grasp the barbell and sit down on the bench. Place the barbell on your thighs.Your back should be straight, shoulders back and knees and feet together.Grasp the barbell at around shoulder with apart using an underhand grip.Keeping your elbows locked in at your sides, lift the barbell off your thighs slightly. This is the starting position for the exercise.Bending at the elbows only, slowly curl the weight up as far as possible.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Squeeze the biceps, and then slowly lower the weight back to the starting position.Do not let the weight touch your thighs, and then repeat."
Lying Cable Curl (floor) $,"The lying cable curl is a good exercise for isolating the biceps. Set up for the exercise by attaching a straight bar to a low pulley cable and selecting the weight you want to use.Sit on the floor in front of the cable machine with your feet resting against it.Grip the bar with an underhand grip (palms facing up) at around shoulder width and lay back on the floor. Your body should be flat on the floor.Keeping your upper arms on the floor, slowly curl the bar up as far as possible.Squeeze the biceps, and then slowly lower the bar back to the starting position.Repeat for desired reps.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternate Standing Hammer Curl$,"The alternate hammer curl is a great exercise for the biceps and the forearms. Set up by grasping a set of dumbbells and standing straight up with the dumbbells by your sides.You should be using a neutral grip, meaning your palms are facing your body.Bend your arms slightly to keep the tension on the biceps.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Keeping your body fixed and elbows in at your sides, slowly curl up the dumbbell of your weakest arm (for most people this is their left arm).Squeeze the bicep at the top of the movement, and then slowly lower the weight back to the starting position.Repeat the same movement for the other arm. This is one rep. Now repeat to complete the set!",,,,,,,,,,,,,,,,,,,,,,,
Seated Hammer Curl$,"Set up for the seated hammer curl by grabbing a flat bench or adjustable bench and placing a set of dumbbells at one end. If you're using an adjustable bench, adjust the back to a 90 degree angle.Sit on the end of the bench with your feet out in front of you and your knees together.Pick the dumbbells up off the floor and let them hang by your sides with your palms facing your body (neutral grip).Bend the arms slightly to take up the tension into the biceps. This is the starting position for the exercise.Keeping your back straight and your elbows tucked in at your sides, slowly curl up the dumbbells up as far as possible.Squeeze the biceps hard, and then slowly lower the dumbbells back to the starting position.Repeat for desired reps.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exercise Ball Dumbbell Curl$,"The exercise ball dumbbell curl hits the biceps as well as using the core muscles for stability. Grab a pair of dumbbells and sit on an exercise ball.Using an underhand grip and keeping your elbows in at your sides, slowly curl the dumbbells up as far as possible.Pause, and then slowly lower the dumbbells back to the starting position.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incline Bench Hammer Curl$,"The incline bench dumbbell hammer curl is a good exercise to totally isolate the bicep muscle while also hitting the forearms. Set an adjustable bench to an angle of around 45 degrees.Grab a dumbbell and position yourself at the highest end of the bench.Rest the back of your upper arm on the bench padding and allow your arm to fully extend until the dumbbell is almost touching the bench.You should be holding the dumbbell using a neutral grip, thumb facing towards you.Use your other arm for support by holding the bench.Tense your bicep and slowly curl it up as far as possible.Squeeze the muscle, and then slowly lower the weight back to the starting position.Repeat for desired reps, and then repeat for the other arm.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing Barbell Curl $,"The standing barbell curl is the cornerstone of many bicep building routines. Grasp a barbell or Olympic bar at around shoulder width apart using an underhand grip (palms facing up).Stand straight up, feet together (you may be more comfortable putting one foot back for stability), back straight, and with your arms fully extended.The bar should not be touching your body.Keeping your eyes facing forwards, elbows tucked in at your sides, and your body completely still, slowly curl the bar up.Squeeze your biceps hard at the top of the movement, and then slowly lower it back to the starting position.Repeat for desired reps.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider Curl $,"The spider curl uses the conventional preacher bench, but in an unconventional way! When you do a spider curl the padding that is usually used to support your upper arms is used to support your stomach.To set up for the spider curl you need to either turn the arm padding around 180 degrees, or position yourself at the front of the bench facing the seat.Grab a barbell and hold it with an underhand grip around shoulder width apart.Position yourself with your stomach on the padding and arms hanging off the high side.Keep your eyes facing forward and slowly curl the weight up as far as possible.Squeeze the biceps, pause, and then slowly lower the weight back to the bottom.Repeat for desired reps.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammer Curl Across The Body AKA Pinwheel Curls$,"Set up for the across body hammer curl by grasping a pair of dumbbells and standing straight up holding them at your sides.You should be using a neutral grip (palms facing the body) and the dumbbells should not be resting on your body.Take up the tension by slightly bending your arms. This is the starting position for the exercise.Starting with your weakest arm (usually the left), slowly curl the dumbbell up across the front of your body as shown in the video demonstration.Squeeze the bicep at the top of the movement, and then slowly lower the weight back to the starting position.Repeat this movement for your other arm.This is one rep, now repeat to complete your set!$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rope Cable Preacher Curl$,"Set up for the cable preacher curl by grabbing a preacher bench and placing it in front of a low pulley cable machine. There should be about a 1-2 ft gap.Attach a rope extension to the low pulley cable and select the weight you want to use on the stack.Sit on the bench with your upper arms on the pads and grasp the bar with a neutral grip (thumbs facing your body) at about shoulder width apart.Bend the arms slightly to take tension into the biceps. This is the starting position.Slowly curl the bar up as far as possible, squeeze the biceps at the top and slowly lower the weight back to the starting position.Repeat for desired reps.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twisting Standing Dumbbell Curl$,"Grasp a pair of dumbbells and stand straight up holding the dumbbells by your side.Your arms should be slightly bent and your palms facing in towards your body (thumbs forward).Before starting the movement, curl the weight up slowly to put the tension on your biceps.Starting with your weakest arm (usually your left), curl the dumbbell up.As you curl up rotate the dumbbell from a neutral position (palms facing in) to an underhand position (palms facing up).Squeeze your bicep at the top of the movement, and then slowly lower the weight back down without letting it touch your body.Repeat on the other arm.That's 1 rep. Now repeat for desired reps!$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toes In Standing Machine Calf Raise$,Adjust the shoulder pad corresponding to your height.Step underneath the pad and place the balls of your feet on the platform with your toes pointed in - your heels will naturally hang off.Extend the hips and knees in order to raise the shoulder pad.Lower the heels by dorsiflexing the ankles until the calves are fully stretched.Extend the ankles and exhale as you flex the calves.Repeat for the assigned number of repetitions.$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing One-Leg Calf Raise With Dumbbell$,"Set up by grasping a dumbbell in your right hand and standing on the edge of a calf raise block or step with the balls of your feet on the edge.Take your right leg and hook it behind your left.Let your left heel drop as far as possible. This is the starting position.Keeping your body straight and eyes facing forwards, raise your left heel up as far as possible.Pause and squeeze the calf muscle, and then slowly lower your heel back down as far as possible.Repeat for desired reps, and then repeat on the right leg.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith Machine Calf Raise$,"Set the bar on the smith machine to around shoulder height and rack up the weight you want to use.Grab a step, calf block, or weight plate and put it below the bar.Step up on the block and position the balls of your feet on the edge.Grasp the smith bar with a wide grip and position it across the top of your back muscles (not across the back of your neck).Push up to take the weight off the rack and slowly let your heels drop down as far as possible. This is the starting position.Slowly raise your heels as far as you can off the floor.Squeeze the calf muscles, and then slowly lower your heels back to the starting position.Repeat for desired reps.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skipping Jump Rope$,"Grasp a jump rope with the handles at your sides and the rope behind your heels.Rotate the wrists to generate velocity and help the rope revolve around the body.As the rope moves toward your feet, hop with one foot to allow it to pass underneath.Once the rope has passed underneath, you’ll hop again with the same foot before hopping the rope with opposite foot on the next pass.Repeat steps 4 & 5 for the desired number of repetitions or time.$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
